accesion	pais	st_pasteur	anio	carbapenemasa	genes_carb	st_oxford	kl	ocl	rep_apt
GCA_055521295.1	Brasil	193	2021	no	ninguna	2459	KL92	OCL5	r3-T15,r3-T43,r3-T7,r3-T76,rP-T1
GCA_055521315.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_055521335.1	Brasil	1	2021	si	blaOXA-23	-	KL17	OCL3	r3-T1,r3-T15,rP-T1
GCA_055521355.1	Brasil	2	2021	si	blaOXA-23	-	KL56	OCL1	r3-T1,rP-T1
GCA_055521375.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_055521395.1	Brasil	1	2021	si	blaOXA-23	-	KL17	OCL3	rP-T1
GCA_055521415.1	Brasil	-	2021	si	blaOXA-23	-	KL77	OCL7	r3-T14
GCA_055521435.1	Brasil	143	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_057186615.1	Chile	318	2022	si	blaOXA-58	225	KL22	OCL3	r3-T14
GCA_057186955.1	Chile	1	2022	no	ninguna	-	KL1	OCL1	r3-T13,r3-T14
GCA_057205515.1	Chile	318	2022	si	blaOXA-58	225	KL22	OCL3	r3-T14
GCA_057211905.1	Chile	1	2022	no	ninguna	-	KL1	OCL1	r3-T13,r3-T14
GCA_058313035.1	Brasil	15	2023	si	blaNDM,blaOXA-23	236	KL81	OCL7	r3-T14
GCA_058666895.1	Brasil	188	2023	si	blaOXA-23,blaOXA-407	-	KL27	OCL1	r3-T43,rP-T1
GCA_058666915.1	Brasil	15	2023	si	blaNDM,blaOXA-23	236	KL81	OCL7	r3-T14
GCA_058666955.1	Brasil	2	2023	si	blaOXA-23	-	KL56	OCL1	r3-T1,r3-T3
GCA_058666975.1	Brasil	2	2023	si	blaOXA-23	-	KL56	OCL1	r3-T1,r3-T3
GCA_058667035.1	Brasil	2	2023	si	blaOXA-23	-	KL56	OCL1	r3-T1
GCA_058667075.1	Brasil	25	2023	si	blaOXA-23	690	KL22	OCL10	r3-T1,rP-T1
GCA_058667095.1	Brasil	15	2023	si	blaOXA-23	-	KL167	OCL7	r3-T13,r3-T14,r3-T3
GCA_058667155.1	Brasil	188	2023	si	blaOXA-23,blaOXA-407	-	KL27	OCL1	r3-T43,rP-T1
GCA_058667175.1	Brasil	2	2023	si	blaOXA-23	-	KL56	OCL1	r3-T1,r3-T15
GCA_058667195.1	Brasil	2742	2023	si	blaOXA-23	-	KL14	OCL3	r3-T14,r3-T3
GCA_058672075.1	Brasil	2742	2023	si	blaOXA-23	-	KL14	OCL3	r3-T14,r3-T3,rP-T1
GCA_058672095.1	Brasil	-	2023	si	blaOXA-23	1338	KL27	OCL7	r3-T1,rP-T1
GCA_058672115.1	Brasil	231	2023	si	blaOXA-23	-	KL17	OCL3	r3-T1,rP-T1
GCA_058672145.1	Brasil	2742	2023	si	blaOXA-23	-	KL14	OCL3	r3-T14,r3-T3,rP-T1
GCA_058672235.1	Brasil	15	2023	si	blaOXA-23	236	KL81	OCL7	r3-T14
GCA_058672295.1	Brasil	2	2023	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_058672335.1	Brasil	-	2023	si	blaOXA-23	-	KL9	OCL7	rP-T1
GCA_058672355.1	Brasil	188	2023	si	blaOXA-23,blaOXA-407	305	KL33	OCL1	r3-T3,r3-T43,rP-T1
GCA_058672415.1	Brasil	2	2023	si	blaOXA-23	-	KL56	OCL1	r3-T1,r3-T15,r3-T3
GCA_058672435.1	Brasil	2	2023	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_058672455.1	Brasil	231	2023	si	blaOXA-23	-	KL17	OCL3	r3-T1,rP-T1
GCA_058672535.1	Brasil	2	2023	si	blaOXA-23	-	KL9	OCL1	r3-T1,r3-T15,r3-T3
GCA_058672555.1	Brasil	1	2023	si	blaOXA-23	-	KL17	OCL3	r3-T1,rP-T1
GCA_058672575.1	Brasil	1	2023	si	blaOXA-23	-	KL17	OCL3	r3-T1,rP-T1
GCA_058672635.1	Brasil	2	2023	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_058672675.1	Brasil	2742	2023	si	blaOXA-23,blaOXA-407	3385	KL9	OCL3	r3-T14,rP-T1
GCA_058672695.1	Brasil	2	2023	si	blaOXA-23	-	KL56	OCL1	r3-T1
GCA_058672735.1	Brasil	15	2023	si	blaOXA-23	236	KL81	OCL7	r3-T14,rP-T1
GCA_058672755.1	Brasil	2	2023	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_058672775.1	Brasil	2	2023	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_058672875.1	Brasil	2742	2023	si	blaOXA-23,blaOXA-407	3385	KL9	OCL3	r3-T14,rP-T1
GCA_058672895.1	Brasil	2742	2023	si	blaOXA-23,blaOXA-407	3385	KL9	OCL3	r3-T14,rP-T1
GCA_058672975.1	Brasil	2	2023	si	blaOXA-23	-	KL9	OCL1	r3-T1
GCA_058673035.1	Brasil	1	2023	si	blaOXA-23	-	KL17	OCL3	rP-T1
GCA_058673075.1	Brasil	216	2023	no	ninguna	-	KL81	OCL6	r3-T13,r3-T21
GCA_058673135.1	Brasil	-	2023	no	ninguna	234	KL106	OCL8	r1-T1,r3-T3,r3-T43
GCA_058673155.1	Brasil	2	2023	si	blaOXA-23	-	KL56	OCL1	r3-T1,r3-T3
GCA_058673175.1	Brasil	729	2023	no	ninguna	3388	KL6	OCL2	r3-T5,r3-T8
GCA_058673275.1	Brasil	2742	2023	si	blaOXA-23,blaOXA-407	-	KL22	OCL3	r3-T14,r3-T15,rP-T1
GCA_058673285.1	Brasil	2742	2023	si	blaOXA-23,blaOXA-407	-	KL22	OCL3	r3-T14,r3-T15,rP-T1
GCA_058673315.1	Brasil	2	2023	si	blaOXA-23	-	KL7	OCL1	r3-T14
GCA_058673385.1	Brasil	2742	2023	si	blaOXA-23,blaOXA-407	-	KL22	OCL3	r3-T14,rP-T1
GCA_059036965.1	Argentina	1	NA	no	ninguna	-	KL1	OCL1	ninguno
GCA_059040385.1	Argentina	15	1993	no	ninguna	104	KL77	OCL7	ninguno
GCA_059040405.1	Argentina	15	1994	no	ninguna	104	KL77	OCL7	ninguno
GCA_059040425.1	Argentina	15	1994	no	ninguna	104	KL77	OCL7	ninguno
GCA_059040505.1	Argentina	15	1994	no	ninguna	104	KL77	OCL7	ninguno
GCA_059041325.1	Argentina	79	1998	no	ninguna	-	KL77	OCL10	ninguno
GCA_059041335.1	Argentina	79	1998	no	ninguna	-	KL77	OCL10	ninguno
GCA_059041385.1	Argentina	79	NA	no	ninguna	-	KL49	OCL10	ninguno
GCA_900519195.1	Venezuela	2	2016	si	blaNDM-1,blaOXA-23	-	KL16	OCL1	r3-T1,rP-T1
SRR35795686	Colombia	345	2019	no	ninguna	745	KL54	OCL6	r3-T22,r3-T5,r3-T6,r3-T67
SRR37377127	Peru	158	2012	no	ninguna	499	KL6	OCL1	r3-T3
SRR37377138	Peru	158	2013	no	ninguna	499	KL6	OCL1	r3-T13,r3-T3
SRR37377149	Peru	158	2016	no	ninguna	499	KL6	OCL1	r3-T3
SRR37377150	Peru	158	2016	no	ninguna	499	KL6	OCL1	r3-T3
